,champion,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,item0,item1,item2,item3,item4,item5,item6,perk0,perk1,perk2,perk3,perk4,perk5,statPerk0,statPerk1,statPerk2,championName
7726,5,4,11,False,5,7,5,105749,6630,2031,3053,3047,0,0,3340,8010,9111,9104,8014,8143,8135,5005,5008,5002,XinZhao
7727,39,12,4,False,8,8,3,158214,1055,6673,1029,3111,3153,3091,3364,8010,8009,9104,8299,8473,8242,5008,5008,5003,Irelia
7728,498,4,7,False,7,7,10,121140,1055,3036,3006,6671,3508,1038,3363,8008,9111,9103,8014,8234,8236,5005,5008,5002,Xayah
7729,412,4,3,False,3,7,12,25311,3857,3050,3190,0,3076,3158,3364,8439,8463,8473,8451,8345,8352,5005,5008,5002,Thresh
7730,31,12,4,True,2,2,6,80795,3111,6662,3076,2031,1054,1029,3340,8437,8446,8429,8451,9111,9104,5005,5002,5002,Chogath
7731,64,4,11,True,7,0,9,101929,6692,2055,3047,3067,3133,0,3340,8010,9111,9104,8014,8304,8347,5005,5008,5002,LeeSin
7732,157,4,14,True,10,3,4,122678,6673,3033,3006,3072,0,1055,3340,8010,9111,9104,8014,8139,8135,5005,5008,5002,Yasuo
7733,119,4,7,True,8,1,6,76671,1055,6673,3006,3508,0,0,3363,8005,9111,9103,8014,8234,8236,5005,5008,5002,Draven
7734,412,4,3,True,3,3,12,20944,3158,3857,3190,3067,0,0,3364,8439,8463,8473,8451,8345,8352,5005,5008,5002,Thresh
7735,122,4,6,False,1,4,1,69465,1054,2031,3047,6632,1028,0,3340,8010,9111,9105,8299,8444,8451,5005,5008,5003,Darius
7736,245,11,4,False,2,5,1,75585,3044,1001,3115,3057,3067,0,3364,8010,9111,9105,8299,8143,8105,5005,5008,5002,Ekko
7737,67,21,4,False,1,6,1,29359,1083,6670,1053,3006,1018,0,3340,8005,9111,9104,8017,8473,8242,5005,5008,5002,Vayne
7738,236,7,4,False,3,7,1,73990,3006,3057,6671,1055,1036,1036,3340,8005,8009,9104,8014,8135,8139,5005,5008,5002,Lucian
7739,267,4,14,False,2,8,2,9069,3851,4005,2010,3158,1004,0,3364,8214,8226,8210,8237,8345,8347,5008,5008,5002,Nami
7740,240,4,14,False,1,11,11,210447,3748,3105,3047,3068,3053,1033,3340,8437,8446,8473,8451,9111,9104,5005,5008,5002,Kled
7741,121,4,11,False,16,10,5,272535,3134,3142,6694,3111,6676,6691,3364,8128,8143,8138,8135,8233,8232,5008,5008,5003,Khazix
7742,7,4,14,False,6,6,4,196310,4629,6655,3157,3020,3089,1026,3363,8112,8139,8138,8135,8345,8352,5005,5008,5002,Leblanc
7743,119,4,1,False,5,8,5,297468,6673,3094,3006,3036,3031,6676,3363,9923,8139,8138,8135,8009,9103,5005,5008,5002,Draven
7744,350,3,7,False,1,7,16,29302,3853,2055,6655,1058,4628,0,3364,8214,8226,8210,8236,8009,8017,5008,5008,5002,Yuumi
7745,114,12,4,True,13,6,8,297654,3074,6333,6630,3053,3026,3047,3364,8010,9111,9104,8299,8473,8451,5005,5008,5002,Fiora
7746,163,11,4,True,7,10,16,163132,6656,3102,3157,3020,3116,0,3364,8128,8139,8138,8135,8304,8347,5008,5008,5002,Taliyah
7747,101,21,4,True,6,6,10,178367,3089,6655,1082,3020,3040,4630,3340,8229,8226,8210,8237,8345,8347,5008,5008,5003,Xerath
7748,145,7,4,True,15,3,14,315133,6672,3006,3157,6676,3085,3031,3363,9923,8139,8138,8135,8304,8345,5005,5008,5002,Kaisa
7749,89,14,4,True,1,4,22,29815,3860,3190,3109,3050,3047,0,3364,8439,8463,8473,8451,8126,8105,5007,5002,5002,Leona
7750,83,4,12,False,4,5,2,74000,6632,3047,2033,3076,1011,0,3340,8437,8446,8473,8451,8135,8139,5008,5008,5001,Yorick
7751,99,4,12,False,5,5,4,77042,3020,6655,3157,1056,0,0,3363,8229,8226,8210,8237,8009,8014,5008,5008,5003,Lux
7752,104,4,11,False,6,4,7,137060,6673,2031,3047,6676,0,0,3364,8021,9111,9104,8014,8138,8143,5005,5008,5003,Graves
7753,166,7,4,False,3,5,4,74173,3047,2031,6673,3123,3134,1055,3363,8005,8009,9103,8014,8401,8473,5005,5008,5002,Akshan
7754,711,14,4,False,1,6,5,11445,3853,2031,3020,0,3802,1026,3364,8128,8139,8138,8106,8226,8233,5008,5008,5002,Vex
7755,34,4,14,True,3,2,5,97750,3040,6653,1082,3020,0,0,3340,8112,8126,8138,8135,8009,8014,5008,5008,5003,Anivia
7756,121,4,11,True,14,6,3,117018,6676,3142,2031,3111,6691,1036,3364,8128,8143,8138,8135,8233,8232,5008,5008,5003,Khazix
7757,114,4,12,True,4,6,5,119040,1055,6630,3047,3074,3044,1037,3340,8010,9111,9104,8014,8446,8473,5005,5008,5002,Fiora
7758,119,4,3,True,2,3,6,149042,6691,6676,3006,3036,0,0,3363,9923,8139,8138,8135,8009,9103,5005,5008,5002,Draven
7759,350,7,14,True,2,2,9,11471,3853,3222,2055,6617,1082,1052,3364,8214,8226,8210,8236,8009,8017,5008,5008,5002,Yuumi
